currency_name,exchange_rate,currency_code,exchange_date,updated_at
Євро,49.7947,EUR,2026-01-01,2026-05-02T19:18:25Z
Фунт стерлінгів,57.0371,GBP,2026-01-01,2026-05-02T19:18:25Z
Ukrainian Hryvnia,1.0,UAH,2026-01-01,2026-05-04T05:25:21Z
Долар США,42.3532,USD,2026-01-01,2026-05-02T19:18:25Z
Євро,49.5499,EUR,2026-01-02,2026-05-02T19:18:26Z
Фунт стерлінгів,56.8369,GBP,2026-01-02,2026-05-02T19:18:26Z
Ukrainian Hryvnia,1.0,UAH,2026-01-02,2026-05-04T05:25:21Z
Долар США,42.1701,USD,2026-01-02,2026-05-02T19:18:26Z
Євро,49.5499,EUR,2026-01-03,2026-05-02T19:18:26Z
Фунт стерлінгів,56.8369,GBP,2026-01-03,2026-05-02T19:18:26Z
Ukrainian Hryvnia,1.0,UAH,2026-01-03,2026-05-04T05:25:21Z
Долар США,42.1701,USD,2026-01-03,2026-05-02T19:18:26Z
Євро,49.5499,EUR,2026-01-04,2026-05-02T19:18:26Z
Фунт стерлінгів,56.8369,GBP,2026-01-04,2026-05-02T19:18:26Z
Ukrainian Hryvnia,1.0,UAH,2026-01-04,2026-05-04T05:25:21Z
Долар США,42.1701,USD,2026-01-04,2026-05-02T19:18:26Z
Євро,49.5794,EUR,2026-01-05,2026-05-02T19:18:26Z
Фунт стерлінгів,56.8624,GBP,2026-01-05,2026-05-02T19:18:26Z
Ukrainian Hryvnia,1.0,UAH,2026-01-05,2026-05-04T05:25:21Z
Долар США,42.2942,USD,2026-01-05,2026-05-02T19:18:26Z
Євро,49.5136,EUR,2026-01-06,2026-05-02T19:18:26Z
Фунт стерлінгів,57.0772,GBP,2026-01-06,2026-05-02T19:18:26Z
Ukrainian Hryvnia,1.0,UAH,2026-01-06,2026-05-04T05:25:21Z
Долар США,42.4208,USD,2026-01-06,2026-05-02T19:18:26Z
Євро,49.7992,EUR,2026-01-07,2026-05-02T19:18:26Z
Фунт стерлінгів,57.5074,GBP,2026-01-07,2026-05-02T19:18:26Z
Ukrainian Hryvnia,1.0,UAH,2026-01-07,2026-05-04T05:25:21Z
Долар США,42.5634,USD,2026-01-07,2026-05-02T19:18:26Z
Євро,49.9216,EUR,2026-01-08,2026-05-02T19:18:26Z
Фунт стерлінгів,57.6318,GBP,2026-01-08,2026-05-02T19:18:26Z
Ukrainian Hryvnia,1.0,UAH,2026-01-08,2026-05-04T05:25:21Z
Долар США,42.7155,USD,2026-01-08,2026-05-02T19:18:26Z
Євро,50.1762,EUR,2026-01-09,2026-05-02T19:18:26Z
Фунт стерлінгів,57.7726,GBP,2026-01-09,2026-05-02T19:18:26Z
Ukrainian Hryvnia,1.0,UAH,2026-01-09,2026-05-04T05:25:21Z
Долар США,42.9904,USD,2026-01-09,2026-05-02T19:18:26Z
Євро,50.1762,EUR,2026-01-10,2026-05-02T19:18:26Z
Фунт стерлінгів,57.7726,GBP,2026-01-10,2026-05-02T19:18:26Z
Ukrainian Hryvnia,1.0,UAH,2026-01-10,2026-05-04T05:25:21Z
Долар США,42.9904,USD,2026-01-10,2026-05-02T19:18:26Z
Євро,50.1762,EUR,2026-01-11,2026-05-02T19:18:27Z
Фунт стерлінгів,57.7726,GBP,2026-01-11,2026-05-02T19:18:27Z
Ukrainian Hryvnia,1.0,UAH,2026-01-11,2026-05-04T05:25:21Z
Долар США,42.9904,USD,2026-01-11,2026-05-02T19:18:27Z
Євро,50.1444,EUR,2026-01-12,2026-05-02T19:18:27Z
Фунт стерлінгів,57.7925,GBP,2026-01-12,2026-05-02T19:18:27Z
Ukrainian Hryvnia,1.0,UAH,2026-01-12,2026-05-04T05:25:21Z
Долар США,43.0757,USD,2026-01-12,2026-05-02T19:18:27Z
Євро,50.5264,EUR,2026-01-13,2026-05-02T19:18:27Z
Фунт стерлінгів,58.2475,GBP,2026-01-13,2026-05-02T19:18:27Z
Ukrainian Hryvnia,1.0,UAH,2026-01-13,2026-05-04T05:25:21Z
Долар США,43.2552,USD,2026-01-13,2026-05-02T19:18:27Z
Євро,50.3219,EUR,2026-01-14,2026-05-02T19:18:27Z
Фунт стерлінгів,58.1195,GBP,2026-01-14,2026-05-02T19:18:27Z
Ukrainian Hryvnia,1.0,UAH,2026-01-14,2026-05-04T05:25:21Z
Долар США,43.1762,USD,2026-01-14,2026-05-02T19:18:27Z
Євро,50.2649,EUR,2026-01-15,2026-05-02T19:18:27Z
Фунт стерлінгів,57.9969,GBP,2026-01-15,2026-05-02T19:18:27Z
Ukrainian Hryvnia,1.0,UAH,2026-01-15,2026-05-04T05:25:21Z
Долар США,43.1236,USD,2026-01-15,2026-05-02T19:18:27Z
Євро,50.4375,EUR,2026-01-16,2026-05-02T19:18:27Z
